festival_name,place,start,end,content,jugwan,tel,content_info,homepage,zip_no,latitude,logitude,sido,sigungu,doro,eupmyun,sangse
2022 강원도 지역문제 발견 오픈테이블,커먼즈필드 춘천_안녕하우스,2022-05-09,2022-05-19,강원지역문제해결플랫폼은 강원도민이 제안한 지역 문제를 공공기관의 자원을 연결하여 지역주민과 함께 리빙랩 방식으로 해결하기 위해 노력하고있습니다. 2022년에도 지역 주민중심으로 지역의 문제를 제안 받는 지역문제발견 오픈테이블을 진행 중입니다. 플랫폼 과정을 통해 선정된 의제는 500~1000만원의 실험비로 지역의 문제를 해결할 수 있는 실험을 진행할 수 있습니다.,강원지역문제해결플랫폼 추진위원회,033-252-1090,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10452&search_type=1&search_keyword=2022+EAB095EC9B90EB8F84+ECA780EC97ADEBACB8ECA09C+EBB09CEAB2AC+EC98A4ED9488ED858CEC9DB4EBB894,전시관람,24374,37.8842671,127.7324969,강원특별자치도,춘천시,공지로 255 (효자동),효자동,303-14
제 29회 봄내예술제 봄내미술인전_시민과 예술인의 만남,춘천미술관 전관,2022-05-13,2022-05-25,"29회 봄내예술제의 세부 행사인 시민과 작가 159명이 참여한 2022 봄내 미술인전’이 열립니다. 서양화 56점, 수채화 41점, 한국화 25점, 서예·문인화 20점, 공예·디자인 12점, 조소 5점을 소개합니다.",(사)한국미술협회 춘천지부,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10449,전시관람,24264,36.1234735,128.5746652,강원특별자치도,춘천시,서부대성로 71 (옥천동),옥천동,"73-2, 춘천예술마당"
2022년 순천민주주의 정책 페스티벌,부읍성남문터광장(예정),2022-11-12,2022-11-12,"시민공론장, 민주주의정책 홍보관, 배움터, 체험 등",전라남도 순천시청,061-749-5554,,축제일정 변동가능,57941,34.9505295,127.4873696,전라남도,순천시,중앙로 93 (영동),영동,"8, 순천부, 읍성, 남문터, 광장"
제23회 순천만 갈대축제,순천만습지 일원,2022-11-18,2022-11-20,"주민참여 퍼포먼스, 음악회, 체험부스",전라남도 순천시청,061-749-6081,,축제일정 변동가능,58027,37.8704329,127.7377902,전라남도,순천시,순천만길 513-25 (대대동),대대동,"162-2, 순천만자연생태관,, 순천만천문대"
2022 순천만국가정원 별빛산책,순천만국가정원 서원,2022-12-01,2022-12-31,"야간경관 조성, 크리스마스·연말 기념 공연 등",전라남도 순천시청,061-749-2728,,축제일정 변동가능,58026,34.9604388,127.4896084,전라남도,순천시,국가정원1호길 47 (오천동),오천동,"600, 순천만국제습지센터"
드림러브페스티벌,미정,2022-12-01,2022-12-01,드림 아동 작품 발표회 및 초청공연,전라남도 순천시청,061-749-6615,,축제일정 변동가능,57956,34.9284391,127.4982691,전라남도,순천시,장명로 30 (장천동),장천동,"53-1, 순천시청"
순천향매실 동네방네 매화축제,향매실체험관계월리,2022-03-25,2022-03-25,"매화꽃길 걷기, 매실체험행사, 농가직거래장터 등",전라남도 순천시청,061-749-8088,,축제일정 변동가능,0,35.0934309,127.3803532,,,,,nan
조곡동벚꽃축제,남도교통(조곡동665-1)앞,2022-03-26,2022-03-27,"체험부스, 먹거리부스 운영",전라남도 순천시청,061-749-8387,,축제일정 변동가능,57943,37.7557932,128.8943897,전라남도,순천시,용당둑길 121 (조곡동),조곡동,"665-1, 남도교통"
순천명품 월등복숭아 체험행사,월등면 일원(복숭아 재배농가),2022-07-30,2022-08-07,복숭아 따기 체험 및 복숭아 판매 등,전라남도 순천시청,061-749-8089,,축제일정 변동가능,57902,35.1401648,126.9163098,전라남도,순천시,월등면 월등로 571,월등면,"대평리, 241-9, 월등면사무소"
서면 드림 축제,미정,2022-01-01,2022-12-31,드림 축제,전라남도 순천시청,061-749-8135,,미정,57906,34.9540609,127.4813938,전라남도,순천시,서면 임촌동길 94,서면,"동산리, 873, 서면, 면사무소"
제5회 철도마을축제 및 제3회 어린이동요제,조곡동 행정복지센터 일원,2022-09-03,2022-09-03,"마을축제(체험및부스운영), 동요제",전라남도 순천시청,061-749-8387,,축제일정 변동가능,57955,34.9499947,127.4986336,전라남도,순천시,자경1길 13 (조곡동),조곡동,82-260
추석맞이 조곡동 한마당 행사,조곡동 행정복지센터 일원,2022-09-10,2022-09-10,"옛날놀이(제기차기,딱지치기) 체험, 주민 장기자랑",전라남도 순천시청,061-749-8389,,축제일정 변동가능,57955,34.9947391,127.48849,전라남도,순천시,자경1길 13 (조곡동),조곡동,82-260
강릉커피축제,강릉대도호부 관아지 등,2022-10-06,2022-10-09,커피경연대회(바리스타+핸드드립+커핑+마카롱)+커피체험(로스팅+추출+커핑+공예품 등)+전시+공연 등,강릉문화재단,033-647-6802,http://www.coffeefestival.net,프로그램+행사장안내 등,25534,37.7557932,128.8943897,강원특별자치도,강릉시,임영로131번길 6 (용강동),용강동,"58-1, 임영관"
전국생활문화축제 in강릉,강릉명주예술마당,2022-10-27,2022-10-30,전국 생활문화 활동 발표+기획 프로그램 등,강릉문화재단,033-647-6808,,,25535,34.8903849,127.5074078,강원특별자치도,강릉시,경강로2021번길 9-1 (명주동),명주동,"49-1, 명주예술마당"
2022 강릉와인축제,강릉 월화거리 일원(문선빌딩 방면),2022-12-09,2022-12-11,도전 와인 골든벨+선셋 와인 아워+시음존 등 운영,강릉문화재단,033-647-6802,https://www.gncaf.or.kr/contents.asp?page=482,축제소개+사진자료 등,25532,36.2323343,128.5997799,강원특별자치도,강릉시,경강로 2111 (임당동),임당동,"106-1, 임당시장"
2022 강릉누들축제,강릉 월화거리 일원(홈플러스 방면),2022-12-16,2022-12-18,"누들 쿠킹쇼, 쿠킹클래스, 시식회, 대형 수제비 만들기 등",강원도 강릉시청,033-640-5130,,,25541,37.8736591,127.7083356,강원특별자치도,강릉시,경강로 2112 (임당동),임당동,"113-2, 금학상가"
군위 삼장군단오축제,효령면 고지바위권역다목적센터 일원,2022-06-03,2022-06-03,단오축제,군위문화원,054-380-6866,,,43133,37.3532125,126.9257298,대구광역시,군위군,효령면 장군당1길 24-6,효령면,"장군리, 116-3"
김수환추기경 사랑과 나눔 문화축전,김수환추기경 사랑과 나눔공원 일원,2022-10-29,2022-10-29,김수환추기경 문화축전,매일신문사,054-380-6065,,,43121,35.0692908,126.8357884,대구광역시,군위군,군위읍 군위금성로 270,군위읍,"용대리, 424, 김수환추기경, 추모전시관"
군포철쭉축제,철쭉동산+초막골생태공원+산본로데오거리,2023-04-28,2023-04-30,공연+전시+체험+놀이+먹거리 부스 등 운영,군포문화재단,031-390-0063,www.gunpofestival.org,,15869,37.7532614,128.8917638,경기도,군포시,고산로 451 (산본동),산본동,"1153, 철쭉공원, 공중화장실1"
상화문학제,수성못 상화동산+수성문화원,2023-05-19,2023-05-21,백일장+시낭송대회+문학강연+문학공연,수성문화원,053-768-0002,http://www.suseong.or.kr,,42169,37.7502846,128.8899239,대구광역시,수성구,들안로16길 78 (두산동),두산동,"30, 두산문화센터"
천을산 해맞이,천을산 정상,2024-01-01,2024-01-01,"신년메세지, 해오름 퍼포먼스 등",(재)수성문화재단,053-666-2162,https://www.suseong.kr,천을산 해맞이 동산+고산초교,0,35.106416,126.9097541,,,,,nan
4월 마토예술제<인형극이랑 놀자>,안정리예술인광장,2023-04-29,2023-04-29,인형극 테마 체험+공연+전시,평택시문화재단,031-692-9110,https://www.pccf.or.kr/,,17982,34.9499947,127.4986336,경기도,평택시,팽성읍 안정쇼핑로 11,팽성읍,"안정리, 113-1, 안정리, 예술인광장"
더 스프링 시즌 A.D.H.D. 페스티벌,안정리예술인광장,2023-05-27,2023-05-27,EDM공연+체험+전시,평택시문화재단,031-692-9110,https://www.pccf.or.kr/,,17982,35.863327,128.5965948,경기도,평택시,팽성읍 안정쇼핑로 11,팽성읍,"안정리, 113-1, 안정리, 예술인광장"
정월대보름달맞이축제,신천변 생활체육광장,2015-03-05,2015-03-05,달집태우기+ 민속놀이+ 먹거리 등,민주평화통일자문회의중구지회,053-661-2631,,,41908,35.8393217,128.6183129,대구광역시,중구,국채보상로139길 1 (동인동2가),동인동2가,"177-4, 중구청"
정월대보름달맞이축제,신천변 생활체육광장,2016-02-22,2016-02-22,달집태우기+ 민속놀이+ 먹거리 등,민주평화통일자문회의중구지회,053-661-2631,,,41958,35.8575191,128.5883859,대구광역시,중구,봉산문화길 77 (봉산동),봉산동,"125, 봉산문화회관"
고싸움놀이축제,칠석동 고싸움놀이테마파크,2022-11-11,2022-11-13,고싸움놀이 시연+무형문화재 초청공연+민속놀이 체험,광주칠석고싸움놀이보존회,062-607-2315,www.goodmorningyangrim.com,매년 정월대보름 개최,61758,37.8736591,127.7083356,광주광역시,남구,고싸움로 2 (칠석동),칠석동,"619, 고싸움"
굿모닝양림축제,양림동 일원,2022-10-12,2022-10-30,문화인물전시+공연+인문학 강의+체험행사,광주광역시남구문화원+굿모닝양림축제추진위원회,062-607-2312,www.gossaum.com,,61662,37.8704329,127.7377902,광주광역시,남구,백서로 92-8 (양림동),양림동,48
노대 에코 페스티벌,분적산 및 노대호수공원,2022-09-24,2022-09-24,분적산그림대회+트레킹+공연+체험행사,광주광역시남구,062-607-2312,,,61746,37.8638574,127.7533567,광주광역시,남구,노대실로41번길 31 (노대동),노대동,"831, 광주한빛교회"
마곡사 신록축제,사곡면 운암리 마곡사일원,2022-05-07,2022-05-08,전시 운영+백범명상길 걷기+마곡사 보물찾기 등,마곡사신록축제추진위원회,041-840-2056,,,32520,36.9598357,127.0440534,충청남도,공주시,사곡면 마곡사로 966,사곡면,"운암리, 567, 마곡사"
제68회 백제문화제,금강신관공원,2022-10-01,2022-10-10,웅진성퍼레이드+체험마당+무대공연+농특산품전시 및 판매,백제문화선양위원회,041-840-8112,https://www.baekje.org/kor/,,32573,35.8698726,128.6053779,충청남도,공주시,금벽로 368 (신관동),신관동,553
제5회 겨울공주 군밤축제,온라인,2022-01-29,2022-02-20,알밤 토크콘서트+공주알밤 디저트 UCC공모전+휴게소 홍보 등,겨울공주 군밤축제추진위원회,041-840-2056,,,0,36.5590781,127.0123085,,,,,nan
제1회 유구색동수국정원 꽃축제,유구색동수국정원,2022-06-17,2022-06-19,공식+기획 행사+경관조성+체험프로그램+편의시설 운영 등,공주시,041-840-8111,,,0,35.8596287,128.6059851,,,,,nan
보이지 않아도 보이는,KT&G 상상마당 춘천 1전시실+KT&G 상상마당 춘천 2전시실,2022-07-13,2022-07-17,"전시장에서 작품을 관람하고자 할 때, 종종 만지지 마세요 눈으로만 보세요.’ 라는 글귀가 있다. 그러면 작품을 볼 수 없는 시작장애인에게 작품 감상은 불가능하다. 이번 전시는 장애인과 같이 문화적 소외자들에게도 작품 감상의 기회를 만들어 시각 예술 분야의 한계성을 극복해보고자 하는 전시이다.",공공미터협동조합,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10597&search_type=1&search_keyword=EBB3B4EC9DB4ECA780+EC958AEC9584EB8F84+EBB3B4EC9DB4EB8A94,전시관람,0,35.8575191,128.5883859,,,,,nan
Creative energy_김정현 개인展,춘천미술관,2022-07-01,2022-07-06,김정현 개인전,김정현,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10594&search_type=1&search_keyword=Creative+energy_EAB980ECA095ED9884+EAB09CEC9DB8E5B195,전시관람,24264,37.8842671,127.7324969,강원특별자치도,춘천시,서부대성로 71 (옥천동),옥천동,"73-2, 춘천예술마당"
2022년 강원PAX아라리 제 3회 정기연주회,국립춘천박물관 중앙홀,2022-06-29,2022-06-29,"강원팍스아라리 주관으로 수원대학교 교수 박영란 작곡가에게 위촉한 6곡의 아리랑을 피아노(4명의 피아니스트)와 국악기(7명의 국악기 연주자)가 함께 앙상블로 연주한다. 국악과 양악의 콜라보레이션으로서, 한국 전통 민요인 아리랑을 새롭게 재창조하며 다채로운 해석을 통하여 대중적으로 다가가는 공연이 될 것이다.",강원팍스아라리,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10591&search_type=1&search_keyword=2022EB8584+EAB095EC9B90PAXEC9584EB9DBCEBA6AC+ECA09C+3ED9A8C+ECA095EAB8B0EC97B0ECA3BCED9A8C,공연,24325,36.4664505,127.1313913,강원특별자치도,춘천시,우석로 70 (석사동),석사동,"95-3, 국립춘천박물관"
춘천 라틴 뮤직 페스타 춤 추어라 호반아,공지천 야외공연장,2022-08-20,2022-08-20,호반과 공연의 도시 춘천에서 라틴을 만나다. 오는 8월 20일 토요일 오후 19시 춘천 공지천 야외공연장에서 춘천 라틴 페스타 춤 추어라 호반아’ 공연,춘천민예총 실용음악협회,033-261-6282,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10687,공연관람,24239,37.8644621,127.7498143,강원특별자치도,춘천시,수변공원길 18 (삼천동),삼천동,469-15
춘천리조이스힐링 페스티벌,공지천 야외 공연장,2022-08-14,2022-08-14,춘천리조이스힐링 페스티벌,(사)강원민예총 춘천지부,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10685&search_type=1&search_keyword=ECB698ECB29CEBA6ACECA1B0EC9DB4EC8AA4ED9E90EBA781+ED8E98EC8AA4ED8BB0EBB28C,공연관람,24239,36.9598357,127.0440534,강원특별자치도,춘천시,수변공원길 18 (삼천동),삼천동,469-15
2022 차근차근 상영전,축제극장 몸짓,2022-10-21,2022-10-23,영화무료상영&벼룩시장&체험전,춘천지속가능발전협의회+평창국제평화영화제,033-243-4900,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10816&search_type=1&search_keyword=2022+ECB0A8EAB7BCECB0A8EAB7BC+EC8381EC9881ECA084,행사+축제,24336,35.8698726,128.6053779,강원특별자치도,춘천시,춘천로 112 (효자동),효자동,"531, 축제극장몸짓"
2022 리얼노상댄스펍,애막골 우석초등학교 인근 거리,2022-09-14,2022-09-17,"로드 스테이지, 노상살롱, 유스클럽, 랜덤플레이 댄스, M에스Z숍",(사)춘천마임축제,033-242-0585,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10793&search_type=1&search_keyword=2022+EBA6ACEC96BCEB85B8EC8381EB8C84EC8AA4ED8E8D,행사+축제,24326,35.8683,128.5891237,강원특별자치도,춘천시,애막골길16번길 6 (석사동),석사동,"754, 우석초등학교"
제20회 춘천국제고음악제,국립춘천박물관+춘천시청+천주교 춘천교구 애막골 성당,2022-09-16,2022-09-23,춘천국제고음악제,(사)춘천국제고음악제,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10800&search_type=1&search_keyword=ECA09C20ED9A8C+ECB698ECB29CEAB5ADECA09CEAB3A0EC9D8CEC9585ECA09C,행사+축제,24325,35.8670867,128.5860806,강원특별자치도,춘천시,우석로 70 (석사동),석사동,"95-3, 국립춘천박물관"
2022 춘천 색소폰 페스티벌 & 춘천 아마추어 색소폰 경연대회,KT&G 춘천 상상 마당 일대,2022-10-01,2022-10-02,춘천 전국 아마추어 색소폰 경연대회,춘천 국제 색소폰 페스티벌 조직위원회+춘천 KT&G 상상마당,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10797,행사+축제,0,37.0981114,127.0866179,,,,,nan
대구 근대路야행(1회),약령시일원,2018-08-24,2018-08-25,문화(재)시설 오픈하우스+ 전시+ 공연+ 체험+ 강좌+ 투어 등,대구광역시 중구,053-661-2195,,,41934,37.8638574,127.7533567,대구광역시,중구,달구벌대로415길 49 (남성로),남성로,"51-1, 대구약령시한의약박물관"
대구 근대路야행(2회),청라언덕,2018-09-07,2018-09-08,문화(재)시설 오픈하우스+ 전시+ 공연+ 체험+ 강좌+ 투어 등,대구광역시 중구,053-661-2195,,,41931,35.8575191,128.5883859,대구광역시,중구,"달구벌대로 2035 (동산동, 동산아파트)",동산동,"357, 동산아파트"
대구 문화재 야행,"약령시, 청라언덕",2019-08-23,2019-08-24,문화(재)시설 오픈하우스+ 전시+ 공연+ 체험+ 강좌+ 투어 등,대구광역시 중구,053-661-2181,,,41934,35.8743216,128.5936575,대구광역시,중구,달구벌대로415길 49 (남성로),남성로,"51-1, 대구약령시한의약박물관"
2020 대구 문화재 야행,"약령시, 청라언덕",2020-09-25,2020-09-26,청사초롱 야경 투어+ 전시행사 및 포토존 운영+ 공연 무관중 사전녹화 영상 등 송출,대구광역시 중구,053-661-2195,,,41934,35.8668272,128.5927521,대구광역시,중구,달구벌대로415길 49 (남성로),남성로,"51-1, 대구약령시한의약박물관"
대구스트리트 모터 페스티벌,남산동 자동차골목,2017-10-21,2017-10-22,자동차전시+ 레이싱모델쇼+ 공연 등,남산동자동차골목상점가상인회,053-661-3014,,,41968,35.863327,128.5965948,대구광역시,중구,명덕로35길 14 (남산동),남산동,2113-8
대구스트리트 모터 페스티벌,남산동 자동차골목,2018-10-06,2018-10-07,자동차전시+ 레이싱모델쇼+ 공연 등,남산동자동차골목상점가상인회,053-661-3014,,,41968,35.8683,128.5891237,대구광역시,중구,명덕로35길 14 (남산동),남산동,2113-8
대구스트리트 모터 페스티벌,남산동 자동차골목,2019-05-18,2019-05-19,자동차전시+ 레이싱모델쇼+ 공연 등,남산동자동차골목상점가상인회,053-661-2180,,,41968,35.8718377,128.599449,대구광역시,중구,명덕로35길 14 (남산동),남산동,2113-8
제1회 북성로 축제,북성로 공구골목 일원,2017-10-29,2017-10-29,부스프로그램+ 북성로 공업소 투어+ 오픈 스튜디오(작가 공방 오픈)+ 거리전시 및 공연,(사)시간과공간연구소,053-661-2173,,,41918,35.8743216,128.5936575,대구광역시,중구,북성로 104 (북성로1가),북성로1가,76-1
제2회 북성로 축제,북성로 공구골목 일원,2018-10-20,2018-10-21,부스프로그램+ 북성로 공업소 투어+ 오픈 스튜디오(작가 공방 오픈)+ 거리전시 및 공연,훌라,053-661-2173,,,41918,36.9598357,127.0440534,대구광역시,중구,북성로 104 (북성로1가),북성로1가,76-1
방천골목오페라축제,방천골목,2018-06-14,2018-06-16,야외실경오페라+ 아마추어칸초네경연대회+ 갈라콘서트,방천골목오페라추진위원회,053-661-2174,,,41952,35.8668272,128.5927521,대구광역시,중구,동덕로8길 26-11 (대봉동),대봉동,31-62
김광석추모콘서트,김광석길야외콘서트홀,2019-01-06,2019-01-06,초청가수콘서트,대봉문화마을협의회,053-661-2173,,,41952,35.8698726,128.6053779,대구광역시,중구,동덕로8길 34-20 (대봉동),대봉동,6-5
대구패션주얼리위크,대구 주얼리 특구,2020-10-30,2020-10-31,비대면 온라인 축제 개최+  주얼리패션쇼+ 주얼리경매+ 주얼리모델선발대회+ 주얼리체험 등,대구패션주얼리위크 조직위원회,053-661-2046,,,41913,35.8722545,128.5910939,대구광역시,중구,경상감영길 176 (동문동),동문동,"38-6, 패션쥬얼리, 전문타운"
정월대보름달맞이축제,신천변 생활체육광장,2011-02-17,2011-02-17,달집태우기+ 민속놀이+ 먹거리 등,민주평화통일자문회의중구지회,053-661-2631,,,41908,35.8683,128.5891237,대구광역시,중구,국채보상로139길 1 (동인동2가),동인동2가,"177-4, 중구청"
정월대보름달맞이축제,신천변 생활체육광장,2012-02-06,2012-02-06,달집태우기+ 민속놀이+ 먹거리 등,민주평화통일자문회의중구지회,053-661-2631,,,41908,36.9910695,127.1139476,대구광역시,중구,국채보상로139길 1 (동인동2가),동인동2가,"177-4, 중구청"
중구미술협회전,봉산문화회관 전시실,2021-10-05,2021-10-10,중구미술협회작가 전시,중구미술협회,053-661-2177,,,41958,36.9948593,127.1329552,대구광역시,중구,봉산문화길 77 (봉산동),봉산동,"125, 봉산문화회관"
정월대보름달맞이축제,신천변 생활체육광장,2013-02-22,2013-02-22,달집태우기+ 민속놀이+ 먹거리 등,민주평화통일자문회의중구지회,053-661-2631,,,41908,35.8668272,128.5927521,대구광역시,중구,국채보상로139길 1 (동인동2가),동인동2가,"177-4, 중구청"
